year_harvest,accession_name,plot_number,SHTWT,RTWT,HI,DM,YELLOWNESS
2019,IITA-TMS-IBA982101,138,108.50,75.50,0.41,31.80,18.84
2019,IITA-TMS-IBA982101,213,75.00,61.90,0.45,32.20,22.48
2019,IITA-TMS-IBA990304,135,67.00,69.40,0.51,27.20,19.25
2019,IITA-TMS-IBA990304,218,75.00,52.20,0.41,22.90,22.62
2019,IITA-TMS-MM972346,111,60.00,28.50,0.32,34.90,31.80
2019,IITA-TMS-MM972346,224,75.00,25.50,0.25,30.60,37.02
2019,IITA-TMS-MM990214,132,77.50,27.50,0.26,24.80,31.23
2019,IITA-TMS-MM990214,220,35.00,5.50,0.14,21.60,NA
2019,IITA-TMS-MM990302,123,22.00,8.50,0.28,27.20,19.44
2019,IITA-TMS-MM990302,239,41.50,28.00,0.40,23.30,17.69
2019,IITA-TMS-ZAR010116,114,59.50,83.10,0.58,24.40,18.59
2019,IITA-TMS-ZAR010116,222,85.00,75.30,0.47,19.90,21.70
2019,KALESO,124,68.50,27.00,0.28,43.10,19.63
2019,KALESO,228,51.00,15.00,0.23,43.70,20.13
2019,SIMONYE,141,90.50,68.00,0.43,21.90,34.65
2019,SIMONYE,246,NA,NA,NA,NA,NA
2019,TMEB14,130,31.00,5.00,0.14,28.60,NA
2019,TMEB14,241,20.00,14.00,0.41,28.50,NA
2019,TMEB419,109,52.50,34.90,0.40,37.70,19.76
2019,TMEB419,216,62.00,52.70,0.46,35.10,20.40
2019,TMEB693,118,54.00,42.40,0.44,35.70,18.91
2019,TMEB693,221,62.00,31.00,0.33,35.40,19.29
2019,TMS13F1053P0010,148,43.00,71.50,0.62,41.90,19.10
2019,TMS13F1053P0010,250,37.00,88.80,0.71,40.40,18.52
2019,TMS13F1053P0015,147,42.50,38.00,0.47,33.70,NA
2019,TMS13F1053P0015,252,23.50,52.00,0.69,35.40,19.27
2019,TMS13F1088P0007,150,64.00,66.50,0.51,38.70,20.11
2019,TMS13F1088P0007,247,75.50,62.00,0.45,43.10,19.72
2019,TMS13F1153P0001,151,82.50,36.00,0.30,32.90,20.34
2019,TMS13F1153P0001,249,94.00,16.20,0.15,30.20,19.94
2019,TMS13F1343P0002,152,36.00,100.30,0.74,34.90,13.08
2019,TMS13F1343P0002,248,39.00,29.00,0.43,34.60,18.43
2019,TMS13F1343P0022,149,65.00,69.50,0.52,39.20,18.62
2019,TMS13F1343P0022,251,61.50,125.00,0.67,39.50,18.61
2020,TMS13F1053P0010,250,46.70,52.52,0.53,38.60,15.38
2020,TMS13F1343P0002,152,42.70,57.60,0.57,35.84,15.41
2020,IITA-TMS-IBA083580,207,35.80,59.80,0.63,37.94,15.47
2020,IITA-TMS-IBA083580,146,28.00,45.09,0.62,36.10,15.70
2020,TMS13F1343P0002,248,39.10,68.60,0.64,35.03,16.25
2020,TMS13F1053P0010,148,39.90,55.81,0.58,36.10,16.48
2020,TMS13F1343P0022,251,56.60,62.25,0.52,41.25,16.52
2020,TMEB693,221,48.80,43.20,0.47,36.23,16.64
2020,IITA-TMS-IBA980581,201,83.30,54.30,0.39,38.86,16.68
2020,IITA-TMS-IBA000070,106,75.70,53.80,0.42,33.26,16.95
2020,TMS13F1343P0022,149,54.00,59.42,0.52,38.35,17.40
2020,TMEB419,109,92.50,21.70,0.19,36.96,17.52
2020,IITA-TMS-IBA090485,211,57.40,68.90,0.55,22.35,17.54
2020,IITA-TMS-IBA071313,225,54.60,53.31,0.49,31.05,17.70
2020,IITA-TMS-IBA000070,230,57.70,64.50,0.53,33.26,17.77
2020,TMS13F1053P0015,252,45.20,61.02,0.57,37.20,17.96
2020,IITA-TMS-IBA071313,126,48.40,42.06,0.46,30.20,18.14
2020,TMS13F1153P0001,151,32.10,30.80,0.49,35.24,18.16
2020,KALESO,228,35.40,18.53,0.34,42.25,18.22
2020,IITA-TMS-IBA980581,121,50.20,19.50,0.28,33.97,18.26
2020,TMS13F1153P0001,249,57.60,45.80,0.44,34.72,18.26
2020,IITA-TMS-MM990302,239,61.00,40.60,0.40,30.15,18.27
2020,IITA-TMS-IBA090485,115,52.30,53.20,0.50,24.64,18.30
2020,TMEB419,216,87.40,46.80,0.35,33.40,18.37
2020,IITA-TMS-IBA982101,138,53.70,23.63,0.31,29.80,18.44
2020,IITA-TMS-IBA990304,218,106.50,79.20,0.43,29.12,18.60
2020,IITA-TMS-ZAR010116,222,45.90,47.60,0.51,18.51,18.66
2020,IITA-TMS-IBA030006A,226,31.30,15.39,0.33,17.90,18.84
2020,IITA-TMS-IBA30572,202,70.70,26.80,0.27,32.62,18.86
2020,IITA-TMS-IBA090576,120,30.30,52.61,0.63,40.95,18.86
2020,IITA-TMS-IBA990304,135,74.70,43.70,0.37,28.89,18.87
2020,KALESO,124,43.10,29.63,0.41,43.20,19.02
2020,IITA-TMS-MM990302,123,52.20,37.80,0.42,27.47,19.05
2020,IITA-TMS-ZAR010116,114,36.50,30.70,0.46,24.27,19.06
2020,IITA-TMS-IBA30572,127,67.90,43.90,0.39,35.57,19.27
2020,IITA-TMS-IBA090576,214,35.80,36.80,0.51,40.30,19.38
2020,TMS13F1088P0007,150,35.90,38.15,0.52,38.60,19.52
2020,IITA-TMS-IBA090454,107,79.50,44.30,0.36,24.04,19.69
2020,TMS13F1088P0007,247,45.90,44.95,0.49,40.10,19.85
2020,IITA-TMS-IBA950925,119,42.70,18.20,0.30,24.90,19.85
2020,IITA-TMS-IBA030006A,117,57.70,44.07,0.43,22.80,19.99
2020,IITA-TMS-IBA982101,213,46.80,48.63,0.51,31.20,20.14
2020,IITA-TMS-IBA950925,223,50.20,21.30,0.30,24.18,20.18
2020,IITA-TMS-IBA011231,203,58.00,16.21,0.22,22.75,26.67
2020,IITA-TMS-MM990214,220,16.80,16.12,0.49,18.05,27.64
2020,IITA-TMS-IBA070064,204,38.00,25.36,0.40,21.90,27.68
2020,IITA-TMS-IBA070064,116,36.00,25.82,0.42,27.95,27.78
2020,IITA-TMS-IBA071378,236,39.70,63.49,0.62,35.20,29.73
2020,IITA-TMS-IBA082993,243,55.50,16.15,0.23,24.60,29.88
2020,IITA-TMS-IBA051814,140,36.70,55.00,0.60,26.46,29.94
2020,IITA-TMS-IBA020510,215,38.20,31.53,0.45,34.85,30.05
2020,IITA-TMS-IBA051814,205,84.40,51.50,0.38,27.57,30.41
2020,IITA-TMS-MM990214,132,40.50,24.89,0.38,18.50,30.42
2020,IITA-TMS-IBA011231,108,47.90,29.67,0.38,25.80,30.65
2020,IITA-TMS-IBA090454,217,52.30,33.70,0.39,24.82,30.84
2020,IITA-TMS-IBA071378,145,32.80,39.44,0.55,30.40,31.63
2020,IITA-TMS-IBA020510,142,48.70,42.58,0.47,36.30,31.67
2020,IITA-TMS-IBA050128,219,54.30,40.80,0.43,35.72,33.00
